ipxe-qemu,1.0.0+git-20131111.c3d1e78-2ubuntu1.1,all,509898
krb5-doc,1.12+dfsg-2ubuntu5.3,all,2047092
krb5-locales,1.12+dfsg-2ubuntu5.3,all,13506
libaccountsservice-doc,0.6.35-0ubuntu7.3,all,21240
libappindicator-doc,12.10.1+13.10.20130920-0ubuntu4.1,all,19174
libapt-pkg-doc,1.0.1ubuntu2.18,all,669356
libavahi-common-data,0.6.31-4ubuntu1.2,amd64,21288
libbcmail-java-doc,1.49+dfsg-2ubuntu0.1,all,66776
libbcpg-java-doc,1.49+dfsg-2ubuntu0.1,all,140986
libbcpkix-java-doc,1.49+dfsg-2ubuntu0.1,all,291774
libbcprov-java,1.49+dfsg-2ubuntu0.1,all,1977126
libbcprov-java-doc,1.49+dfsg-2ubuntu0.1,all,1236230
libboost-atomic1.54.0,1.54.0-4ubuntu3.1,amd64,8076
libboost1.54-doc,1.54.0-4ubuntu3.1,all,36116610
libbsh-java,2.0b4-15ubuntu0.14.04.1,all,264530
libcairo2-doc,1.13.0~20140204-0ubuntu1.1,all,233660
libclutter-gtk-1.0-doc,1.4.4-3ubuntu2.2,all,22250
libcommons-httpclient-java-doc,3.1-10.2ubuntu0.14.04.1,all,740142
libcurl4-doc,7.35.0-1ubuntu2.17,all,927460
libdbusmenu-glib-doc,12.10.3+14.04.20140612-0ubuntu1,all,29256
libdbusmenu-glib4,12.10.3+14.04.20140612-0ubuntu1,amd64,39688
libdbusmenu-gtk-doc,12.10.3+14.04.20140612-0ubuntu1,all,15860
libdbusmenu-jsonloader4,12.10.3+14.04.20140612-0ubuntu1,amd64,6972
libexiv2-doc,0.23-1ubuntu2.1,all,39022
libflac-doc,1.3.0-2ubuntu0.14.04.1,all,677942
libgail-3-doc,3.10.8-0ubuntu1.6,all,22676
libgail-doc,2.24.23-0ubuntu1.4,all,17278
libgcrypt11-doc,1.5.3-2ubuntu4.6,all,616328
libgdk-pixbuf2.0-common,2.30.7-0ubuntu1.8,all,9338
libgdk-pixbuf2.0-doc,2.30.7-0ubuntu1.8,all,174108
libgirepository1.0-doc,1.40.0-1ubuntu0.2,all,180896
libglib2.0-data,2.40.2-0ubuntu1.1,all,116486
libglib2.0-doc,2.40.2-0ubuntu1.1,all,1463490
libgphoto2-l10n,2.5.3.1-1ubuntu2.2,all,7602
libgraphite2-doc,1.3.10-0ubuntu0.14.04.1,all,523416
libgs9-common,9.10~dfsg-0ubuntu10.13,all,2066256
libgtk-3-doc,3.10.8-0ubuntu1.6,all,2566948
libgtk2-perl-doc,2:1.249-2,all,1224704
libgtk2.0-common,2.24.23-0ubuntu1.4,all,121064
libgtk2.0-doc,2.24.23-0ubuntu1.4,all,2301190
libharfbuzz-doc,0.9.27-1ubuntu1.1,all,46908
libhunspell-1.3-0-dbg,1.3.2-6ubuntu2.1,amd64,275054
libiberty-dev,20131116-1ubuntu0.2,amd64,136154
libklibc,2.0.3-0ubuntu1.14.04.3,amd64,40644
liblightdm-gobject-1-doc,1.10.6-0ubuntu1,all,20010
liblouis-data,2.5.3-2ubuntu1.4,all,1007936
libmbim-glib-doc,1.6.0-2ubuntu0.1,all,58366
libmm-glib-doc,1.0.0-2ubuntu1.1,all,180402
