679,firefox-locale-oc,62.0+build2-0ubuntu0.14.04.5,433846
680,firefox-locale-or,62.0+build2-0ubuntu0.14.04.5,445790
681,firefox-locale-pa,62.0+build2-0ubuntu0.14.04.5,453214
682,firefox-locale-pl,62.0+build2-0ubuntu0.14.04.5,328370
683,firefox-locale-pt,62.0+build2-0ubuntu0.14.04.5,815822
684,firefox-locale-ro,62.0+build2-0ubuntu0.14.04.5,422220
685,firefox-locale-ru,62.0+build2-0ubuntu0.14.04.5,498766
686,firefox-locale-si,62.0+build2-0ubuntu0.14.04.5,447026
687,firefox-locale-sk,62.0+build2-0ubuntu0.14.04.5,446578
688,firefox-locale-sl,62.0+build2-0ubuntu0.14.04.5,426464
689,firefox-locale-sq,62.0+build2-0ubuntu0.14.04.5,434710
690,firefox-locale-sr,62.0+build2-0ubuntu0.14.04.5,457654
691,firefox-locale-sv,62.0+build2-0ubuntu0.14.04.5,424450
692,firefox-locale-sw,62.0+build2-0ubuntu0.14.04.5,17074
693,firefox-locale-ta,62.0+build2-0ubuntu0.14.04.5,484552
694,firefox-locale-te,62.0+build2-0ubuntu0.14.04.5,495284
695,firefox-locale-th,62.0+build2-0ubuntu0.14.04.5,465896
696,firefox-locale-tr,62.0+build2-0ubuntu0.14.04.5,435744
697,firefox-locale-uk,62.0+build2-0ubuntu0.14.04.5,491684
698,firefox-locale-ur,62.0+build2-0ubuntu0.14.04.5,471904
699,firefox-locale-uz,62.0+build2-0ubuntu0.14.04.5,417580
700,firefox-locale-vi,62.0+build2-0ubuntu0.14.04.5,437408
701,firefox-locale-xh,62.0+build2-0ubuntu0.14.04.5,420322
702,firefox-locale-zh-hans,62.0+build2-0ubuntu0.14.04.5,448824
703,firefox-locale-zh-hant,62.0+build2-0ubuntu0.14.04.5,450244
704,firefox-locale-zu,62.0+build2-0ubuntu0.14.04.5,17078
710,fontforge-common,20120731.b-5ubuntu0.1,26092
713,fonts-droid,1:4.3-3ubuntu1.2,3037750
714,fonts-opensymbol,2:102.6+LibO4.2.8-0ubuntu5.3,109882
716,fop-doc,1:1.1.dfsg-2ubuntu1.1,2520616
717,freeipmi-common,1.1.5-3ubuntu3.3,159742
737,gcc-4.8-aarch64-linux-gnu-base,4.8.4-2ubuntu1~14.04.1cross0.11.2,14864
739,gcc-4.8-arm-linux-gnueabihf-base,4.8.4-2ubuntu1~14.04.1cross0.11.2,15000
740,gcc-4.8-base,4.8.4-2ubuntu1~14.04.4,16704
747,gcc-4.8-powerpc-linux-gnu-base,4.8.4-2ubuntu1~14.04.1cross0.11.2,14670
749,gcc-4.8-powerpc64le-linux-gnu-base,4.8.4-2ubuntu1~14.04.1cross0.4.2,14458
751,gcc-4.9-base,4.9.3-0ubuntu4,15146
761,gdb-doc,7.7.1-0ubuntu5~14.04.3,3775834
767,gettext-doc,0.18.3.1-1ubuntu3,497680
774,ghostscript-doc,9.10~dfsg-0ubuntu10.13,5153772
777,gimp-data,2.8.10-0ubuntu1.2,3060394
810,gir1.2-javascriptcoregtk-1.0,2.4.10-0ubuntu0.14.04.1,12570
